customer,churn, age, children, income,handset_age,smart_phone,homeowner,avg_overbundle_mins,avg_roamcalls,call_minutes_change_pct,bill_amount_change_pct,peak_offpeak_ratio,peak_offpeak_ratio_change_pct,avg_dropped_calls,last_month_customercare_calls,num_retention_calls,num_retention_offers_accepted
78, no,46,0,6,1347,0,0,43.75,0,-3.44,-0.9786,2.893477162,-11.94159498,5,0,1,0
79, no,0,0,0,579,1,1,57.75,0,-3.685,-0.17,2.614098993,4.406705679,15,0.33,0,0
80, no,38,0,6,543,1,0,0,0,-2.29,-0.0518,3.52258896,-4.708734754,21.67,0,0,0
81, no,36,0,6,105,1,1,12.75,0,-2.985,-0.0562,6.248807089,-0.034761881,21.33,0.33,0,0
82, no,34,0,4,185,1,0,248.75,0,-0.71,-0.4416,0.981755154,14.27636423,48,12.33,0,0
83, no,20,0,5,673,1,0,0,0,3.66,0.3118,0.941709089,3.748489333,10.67,0,0,0
84, no,0,0,0,30,1,1,0.5,0,6.07,0.0588,2.319656844,-2.450911877,17.67,2,0,0
85, no,52,0,5,1379,0,0,0,0,-0.975,0.0098,2.185185185,2.050323621,1.67,0,0,0
86, no,62,0,4,479,1,1,0,0,3.425,0.0148,13.582297,9.160161766,13.67,0,0,0
87, no,32,0,0,584,1,1,12.25,0.42,-0.59,-0.0818,3.949924455,-6.842721997,4.67,0,0,0
88, no,28,0,5,165,1,0,0,0.1,3.68,0.0058,0,8.280470315,0,0,1,0
89, no,32,0,6,6,1,0,0,0,0.72,0.003,1.16625,17.12170946,0.67,0,0,0
90, no,44,0,5,657,1,0,4.25,0,-0.635,-0.0192,2.074288031,1.686364532,23.33,11.33,0,0
91, no,42,0,4,247,1,0,26.25,0,-0.335,-0.211,2.610758091,-15.11189013,8.67,0.33,0,0
92, no,24,0,6,433,1,0,0,0.26,0.14,0.0076,2.676399027,1.707608663,0,0,0,0
93, no,50,1,6,641,1,0,5.5,0,2.935,0.3622,2.69175,2.893431394,3.67,0.33,0,0
94, no,50,0,4,548,1,0,38,0.42,-5.955,-0.421,3.615974887,-16.52142139,3,0.67,0,0
95, no,0,0,0,490,1,1,11,0,-0.925,0.1648,2.604739098,-4.881308404,14,2.67,0,0
96, no,0,0,0,589,1,1,92.75,0.88,-2.795,-0.3958,1.493150685,7.624128483,5.67,0,0,0
97, no,0,0,0,128,1,1,81.25,0,-18.69,-0.7316,1.261904762,-8.294076778,14,0,0,0
98, no,34,0,9,1228,0,0,4.25,6.82,-0.5,-0.1734,1.498127341,14.18016146,0.67,0,0,0
99, no,0,0,0,117,1,1,18.25,0,-6.725,-0.5408,3.40587729,0.462542964,9,0.67,2,0
100, no,42,1,8,509,1,0,0,0.29,-1.725,0.004,2.363636364,17.08730553,11.33,0,0,0
101, no,26,0,6,1223,0,0,76.75,0,-0.51,-0.5826,2.51564899,-5.624607384,10.33,1,0,0
102, no,66,0,4,233,1,0,9,0.1,-0.035,0.0686,0.723192606,-23.815533,19.33,6,0,0
103, no,50,1,6,177,1,0,0,8.96,-2.855,-0.1964,4.245500692,5.883255825,7.67,0,0,0
104, no,0,0,7,1212,0,0,1.5,0,1.035,-0.0188,2.58375,4.179962611,1.33,0,0,0
105, no,38,0,6,18,1,0,21.75,0,-4.405,-0.0468,5.936428571,-7.764364057,15.67,0,0,0
106, no,64,0,9,1264,0,0,67,0,-3.915,-0.469,9.952606635,-2.237640831,3,0,0,0
107, no,28,0,4,656,1,1,0,3.36,0.935,0.345,3.377786786,1.557307106,8,0.33,0,0
108, no,44,0,4,298,1,0,8,0,0.475,-0.0388,2.472222222,8.321581767,6,0.33,0,0
109, no,72,0,4,98,1,0,65,0,3.055,0.0976,0.697772021,-0.666386863,30.33,13.67,0,0
110, no,0,0,6,97,1,0,253.25,0,4.91,0.6356,1.961078957,-2.5864689,18,0.67,0,0
111, no,26,0,8,482,0,0,0,0.88,-0.63,0.0618,3,-8.833415653,3.67,0,0,0
112, no,0,0,0,1190,0,1,5.75,0,-2.085,-0.0828,0.99195122,2.650219311,10.33,2.67,0,0
113, no,0,0,0,890,1,1,154.75,0,-0.33,-0.8156,1.060455112,-21.1738271,5.33,0,0,0
114, no,48,1,9,49,1,0,26.5,2.21,-0.1,0.3042,2.430363636,-4.139226256,9,4,0,0
115, no,22,0,6,219,1,0,0.5,0,1.94,0.006,0.958906924,-2.916762,5.67,1.67,0,0
116, no,28,0,7,1181,0,0,0,0,0.2,-0.0036,3.67,2.661764175,0.33,0,0,0
117, no,40,0,5,141,1,0,0,0,0.595,-0.0054,2.625,-4.642043687,19.33,0,0,0
118, no,34,1,5,1177,1,0,12,0,0.05,-0.0032,2.847575058,-4.194856919,0,0,0,0
119, no,40,0,4,65,1,0,2,0.24,-1.05,-0.0208,3.359328134,-9.396863848,3.33,0,0,0
120, no,0,0,9,1339,0,0,0,0,-0.455,-0.6388,3.111666667,11.03035527,1.67,0,0,0
121, no,28,0,5,982,1,0,0,3.46,0.195,-0.0918,2.254626675,19.03093298,3,2.67,0,0
122, no,0,0,0,1082,0,1,18.25,0,-0.435,-0.1236,1.716738197,-12.8702535,0,0,0,0
123, no,0,0,0,677,1,1,0,0,1.27,-0.005,2.688555347,6.064456031,0.67,0,0,0
124, no,50,0,6,182,1,0,0,0,-0.94,0.1058,3.272065249,11.87182542,3.33,0.67,0,0
125, no,0,0,0,270,1,1,0,0,0.065,0,4.084832905,10.51990842,5,0,0,0
126, no,26,1,7,292,1,0,23.75,0,-0.295,-0.0704,0.965068709,1.413686972,7.33,5.67,0,0
127, no,50,0,7,460,1,1,105,0,4.18,0.244,4.261863782,2.537650074,10.33,0.33,0,0
128, no,46,0,7,322,1,1,14.25,5.96,-9.08,-0.8292,2.381071429,11.54068266,3,5.67,0,0
129, no,56,1,2,357,1,0,0,0,-0.71,0.0148,1.040816327,3.656150883,0.33,0,0,0
130, no,32,0,6,438,1,0,288,0,-4.105,-2.0406,3.564153846,-6.353544508,15,1,0,0
131, no,48,0,9,405,1,0,43,0,6.705,-0.2044,1.483859819,5.259173933,17,6.67,0,0
132, no,26,0,5,619,1,1,0,0,1.485,0,0.6819837,3.163421385,3,0,0,0
133, no,50,0,6,379,1,0,241.5,0.65,0.25,0.1628,5.283044387,-0.995365914,23.33,0,0,0
134, no,54,1,9,550,1,0,428.75,0,-10.84,-3.018,2.283783784,6.823192225,18.33,0.33,0,0
135, no,0,0,0,160,1,1,0,0,-9.625,-0.0458,0.808597266,7.844393735,22.33,1.33,0,0
136, no,26,0,4,448,1,1,15,0.1,3.96,0.268,2.355089889,-5.894281112,6.67,0.33,0,0
137, no,0,0,0,60,1,1,0,3.88,-5.135,-0.0974,0.804705124,9.017458135,10,1,1,0
138, no,46,0,6,101,1,0,30.75,0,-0.64,-0.0558,6.317073171,-11.29013799,0.67,0.67,0,0
139, no,0,0,0,85,1,1,0,2.24,0.255,0.2602,1.207250365,-11.36436737,17,1,1,1
140, no,62,0,6,360,1,0,164,0,-0.695,-0.441,3.055671829,-4.315680087,7.67,0.67,0,0
141, no,54,0,6,346,1,0,0,0,1.655,0,2.407222222,4.646388175,3,0,0,0
142, no,0,0,0,261,1,1,0.75,1.07,-1.84,-0.0264,43.36401241,-1.448397003,44.67,0,0,0
143, no,44,0,0,622,1,1,12.75,0,-2.7,-0.1446,1.666521739,6.758681529,1,0,0,0
144, no,32,1,5,34,1,0,345,17.85,10.6,4.3048,4.853955375,5.823815711,37.33,4,0,0
145, no,52,1,8,1171,1,0,0,3.21,-0.625,-0.0642,1.671667381,-8.684790423,3,0.67,0,0
146, no,0,0,0,1106,1,1,52.75,1.87,-2.515,-0.4182,1.114444921,-9.329521907,6.33,0,0,0
147, no,36,1,6,125,1,0,0,0.64,-2.2,0.0126,5.389011683,-1.462690618,7.67,0,0,0
148, no,42,0,2,56,1,1,289.75,0.1,3.885,-0.6434,1.745049505,7.664797114,104.33,6,0,0
149, no,36,0,8,1101,0,0,0,0.9,-0.365,-0.0172,2.166666667,0.213974231,3.33,0,0,0
150, no,36,0,4,337,1,0,0,0.08,3.93,-0.0164,2.259374558,23.73190119,3,0,0,0
151, no,52,0,6,98,1,0,17.25,0.49,6,0.0368,1.564691918,-8.785451369,10.33,1.67,0,0
152, no,38,0,8,380,1,0,0,3.16,0.16,0.0232,2.776914931,-4.411495555,7.67,0,0,0
153, no,0,0,0,19,1,1,0,0,1.26,-0.3792,0,7.766321248,0,0,0,0
154, no,48,0,2,205,1,0,220.5,0,1.03,0.4636,0.851465163,12.24899011,25.67,2.67,0,0
155, no,0,0,3,104,0,1,0,0,-0.07,-0.2572,0.716738197,-13.29263557,0,0,0,0
156, no,60,0,8,66,1,0,321.75,0,-0.025,0.3134,1.068217822,-0.023793878,30.67,2,0,0
157, no,48,0,6,1194,0,0,0.5,0,0.305,0.0136,1.309642857,0.52854035,0.67,0,0,0
158, no,24,0,1,121,1,0,20,1.99,-1.39,-0.0462,0.304738806,-7.209030234,32,4.33,0,0
159, no,46,1,6,1033,1,0,0,1.06,2.955,0.1664,2.020625,-7.666267898,4,0,0,0
160, no,0,0,0,1250,1,1,0,0.24,-1.29,0.0142,5.219623793,3.649376387,6.33,0,0,0
161, no,44,1,6,1073,0,0,0,0,-1.225,-0.0154,4.971756399,9.373937965,1.67,0,0,0
162, no,26,0,8,514,1,0,16,0.92,1.435,0.1966,2.472770324,-14.26060811,1,0,0,0
163, no,44,0,9,153,1,0,0,0,-3.4,0.0148,3.400165529,-2.239423989,15,0,0,0
164, no,44,1,9,1248,0,0,0,0,-0.515,-0.0026,1.79910045,-1.786290968,0.67,0,0,0
165, no,0,0,0,1141,1,1,0,4.52,0.47,0.235,1.300075019,12.09585267,3,0,0,0
166, no,24,0,6,437,1,0,0,0,1.015,-0.0016,0.213346815,-16.22436204,0.67,0,0,0
167, no,24,0,6,1078,0,1,0,0,0.02,-0.004,1,7.86654016,0,0,0,0
168, no,62,1,6,1246,1,0,0,1.34,-1.295,-0.0268,3.250351617,14.83999945,9,3.67,0,0
169, no,42,0,9,846,0,0,10.25,0,-0.815,-0.0968,1.690118986,7.845801824,2.67,0,0,0
170, no,0,0,0,140,1,1,12.5,0,1.015,0.2418,0.480807016,9.19362242,4.67,2,0,0
171, no,42,1,7,1138,0,0,75,0,-1.355,-0.4064,1.635,-9.465631245,4,0,0,0
172, no,40,0,1,101,1,0,759.5,0,-13.69,-0.9244,4.486215058,-12.27551189,33.33,0,0,0
173, no,76,0,7,30,1,0,0,0,0,-0.003,2.997275204,9.70249501,1,0,0,0
174, no,24,0,6,1074,0,0,128.25,0,0.095,0.0388,3.253809524,11.63778151,1,0,0,0
175, no,38,1,7,738,1,0,14.75,0.39,0.06,-0.08,11.31639723,12.14373921,0.67,0,0,0
176, no,80,0,5,385,1,0,0,0,0.24,-0.0032,0.666666667,-8.150728799,0,0,0,0
177, no,40,1,3,128,1,0,129.5,0,7.17,1.5324,0.893402925,-10.13338091,10,1,0,0
178, no,38,1,7,245,1,0,0,0.2,-0.17,0.001,2.826266805,19.07225511,5,0,0,0
179, no,52,1,9,1072,0,0,0,1.17,1.04,0.039,0.458125,9.800787937,1.33,0,0,0
180, no,48,0,9,186,1,0,0,0,-0.125,0,0.381428571,1.193146746,0,0,0,0
181, no,48,1,7,1134,0,0,5,0,0.98,0.135,0.686972821,-4.988199741,0,0,0,0
182, no,36,0,6,1179,0,1,37,0,-8.09,-0.3534,1.617283951,-3.87318796,21,1.33,0,0
183, no,40,0,8,1071,1,0,0,0,0.395,-0.0032,1.688555347,-0.274223518,1.33,0,0,0
184, no,70,1,7,112,1,0,27.25,0.2,0.32,-0.1472,1.093051948,-17.82206709,11.67,2.33,0,0
185, no,42,1,6,297,1,0,185.75,0,4.57,0.6158,2.479116141,2.318527683,9.33,0,0,0
186, no,44,1,6,1067,1,0,0,0,-0.01,-0.0032,0,-2.004329091,0,0,0,0
187, no,40,0,6,675,0,0,1,0,-1.71,-0.0206,1.370585389,3.947816928,5,0,0,0
188, no,42,0,4,745,0,0,32.5,0,-1.155,-0.6734,2.316752012,-4.39261555,4,0,0,0
189, no,54,1,7,68,1,0,0,0,-1.48,-0.2082,2.055833333,0.69918116,7.33,1,0,0
190, no,26,0,3,103,1,0,0,0,0.22,0.005,3.493629264,-3.784492766,7.33,0,0,0
191, no,58,0,9,460,1,0,0,0.29,0.17,-0.0306,2.93325,5.178189852,4.67,0,0,0
192, no,50,0,7,6,1,1,0,0.2,5.115,0.0364,0.385549067,17.36720598,6,0,0,0
193, no,42,1,8,32,1,0,66.5,0,-2.79,-0.5916,1.608848668,6.058133659,8.33,0,0,0
194, no,0,0,0,275,1,1,86,0.32,0.065,-0.1988,4.33851098,-4.381557095,2.33,0,0,0
195, no,46,0,6,359,1,0,110,1.28,-0.465,-0.1712,1.337537021,-1.580207107,7.67,14,0,0
196, no,52,0,5,437,1,0,0,14.2,0.05,-0.154,2.402978632,-9.41173855,9,0,0,0
197, no,0,0,0,195,1,1,81.75,0,-1.89,-0.3974,5.930437031,-20.48779672,6,2,0,0
198, no,46,0,5,348,1,1,34,6.58,1.605,0.1788,1.529134639,4.72593401,4.33,0,0,0
199, no,0,0,0,690,1,1,40.5,0,-18.905,0.5418,1.002712254,5.268500411,11.67,7,0,0
200, no,48,1,6,650,1,0,115.5,0,1.13,-0.0492,1.629257103,-10.59592237,6,0.33,0,0
201, no,46,1,6,1051,0,0,0.5,0,-0.13,-0.011,0.335,10.84776861,0,0,1,1
202, no,0,0,0,557,1,1,4.25,0,1.585,0.101,3.245500692,10.66492993,2,0,0,0
203, no,66,0,6,1219,1,0,0,0.63,-5.34,-0.0188,2.470588235,1.291796927,2.33,0,0,0
204, no,44,1,9,192,1,0,25,0,-0.41,0.4258,2.982415309,2.710049224,3.67,0,0,0
205, no,52,0,9,672,1,0,236,0,-4.7,-1.0886,0.514599869,-6.266016847,6,0,0,0
206, no,42,1,6,654,1,0,0,0,-1.465,-0.0136,24.91006424,-8.880270018,14.33,0,0,0
207, no,46,1,6,-3,1,0,28.75,0,-7.605,-0.2824,2.597189118,2.029867417,14.33,3.33,0,0
208, no,0,0,0,8,1,1,3.5,0,-2.475,0.155,6.677210057,19.92588347,6.33,0,0,0
209, no,36,0,8,128,1,0,127.25,0.16,-2.635,-0.2498,2.167036586,0.267481587,16,5.33,0,0
210, no,60,1,6,-1,1,0,0,0,0,0,0,1.639012625,0,0,0,0
211, no,32,1,2,115,1,0,42,2.93,1.635,0.1318,3.008430449,8.65725652,7.33,0,0,0
212, no,58,1,6,78,1,0,0,0,-0.555,0,4.081914031,7.960778684,2.67,0.33,0,0
213, no,40,0,6,1032,1,0,75,0.48,0.58,-0.0778,3.227753154,-7.824143809,6.33,1.67,1,0
214, no,0,0,0,88,1,1,72.75,0,-0.56,-0.2136,2.67,0.949292791,0,0,0,0
215, no,26,0,6,28,1,0,2,3.5,4.535,0.0666,3.330333033,-8.799158083,7.33,1,0,0
216, no,34,1,6,238,1,0,67,1.56,0,0.2688,4.963577933,-3.068165279,8.67,0,0,0
217, no,36,0,9,1089,1,0,0,12.07,-0.635,-0.2208,1.095,-2.395270584,1,0,0,0
218, no,0,0,0,164,1,1,0,0,0.205,-0.005,2.962129734,4.627172227,2.67,6,0,0
219, no,42,1,7,265,1,0,14,0,0.775,0.252,1.598774562,4.797458643,5.33,7,0,0
220, no,52,0,7,511,1,1,17.5,0,2.64,0.0946,0.842798192,4.317581567,8,0,0,0
221, no,44,0,7,362,1,0,3,0,-0.33,-0.035,3.835,4.07276291,0.67,0,0,0
222, no,46,1,9,91,1,0,21,0,-0.22,-0.0952,3.500511422,-4.915498871,1.67,1.67,0,0
223, no,54,0,6,190,1,1,461.5,0,3.675,2.669,2.041627738,-0.147056771,17,4,0,0
224, no,0,0,1,349,1,1,24,0.32,-1.26,-0.1612,1.971149706,-3.295609415,7,0,0,0
225, no,30,0,6,23,1,1,0,0,0.175,0.085,1.388333333,7.944213509,0,2.67,0,0
226, no,48,0,9,1125,0,0,1.25,3.04,-0.23,-0.0682,4,17.16188389,0.33,0,0,0
227, no,52,1,5,1077,0,0,0,0,-0.035,0,1.398406375,-12.25112889,8,0,0,0
228, no,78,1,4,1014,1,0,0,0,0.065,-0.0032,2,5.08705324,0,0,0,0
229, no,0,0,0,557,1,1,109.5,13.23,-2.355,-1.1814,7.657945118,-3.040703707,7.33,0,0,0
230, no,0,0,0,493,1,0,0.75,0,-0.725,-0.2034,2.661937576,5.993278024,4.67,1,0,0
231, no,0,0,0,490,1,1,3.75,1,-0.365,-0.0432,4.670567057,5.254824688,11,0,0,0
232, no,42,1,9,345,1,0,0.5,0.16,2.355,0.0134,1.528013582,26.4097894,2.67,0,0,0
233, no,40,1,4,462,1,0,0,0,-0.435,-0.6774,5.194805195,10.21733434,7.33,10.67,0,0
234, no,48,0,9,869,1,0,0,0,-1.09,-0.0198,3.369668246,-14.62968209,1,0,0,0
235, no,0,0,0,851,1,1,77.25,0,-1.13,-0.2362,160,-4.766341852,4.67,0,0,0
236, no,26,0,4,200,1,1,99.25,0,1.08,0.52,3.724211815,6.329951973,3,0,0,0
237, no,56,0,9,267,1,0,43.25,0,-1.27,-0.2262,3.103622906,14.30631783,2,2.33,0,0
238, no,0,0,0,459,0,1,92,63.94,-1.435,-1.6946,0.94561513,21.85836972,84.33,2.67,0,0
239, no,34,0,7,4,0,0,0,1.06,0.025,0.0526,2.247191011,-22.66925503,0.33,0,0,0
240, no,38,1,6,1001,1,0,0,0,2.215,-0.007,0.515151515,5.358706541,1.67,1,0,0
241, no,30,1,7,1063,1,0,7.75,0,1.16,0.1208,3.822,8.14867996,2,0,0,0
242, no,54,0,6,262,1,0,236.25,1.12,-9.25,-1.348,6.391304348,8.504113818,8.33,0,0,0
243, no,38,1,8,158,1,0,59.25,0.53,1.74,-0.3236,3.550408202,-3.710512435,8,0,0,0
244, no,38,0,4,1058,0,1,0,0,0.005,0,1.159580342,1.477806864,3.33,0,0,0
245, no,50,1,6,535,1,0,0,0,2.83,0,1.08974359,12.54244123,4,6,0,0
246, no,58,0,7,489,1,0,81.5,0,-25.37,-0.2332,5.009420737,15.06561071,23.33,0.33,0,0
247, no,56,1,3,605,0,0,1.5,0,-0.01,-0.01,0.33,-24.34869621,0,0,1,0
248, no,26,0,8,393,1,0,101,5.96,-11.965,-1.727,0.766504574,0.830560421,14.33,2.33,0,0
249, no,0,0,0,258,1,1,12.5,0,-15.795,-0.1206,1.861997557,12.56805897,28.67,0,0,0
250, no,38,1,5,197,1,0,0,0,-2.15,0.008,0.729462631,5.665576976,8,2.33,0,0
251, no,0,0,0,40,1,1,0,1.87,6.37,-1.116,5.283651532,3.693686483,28,0,0,0
252, no,56,0,5,1051,1,0,0,0.2,0.025,0.004,0.33,7.411066064,0,0,0,0
253, no,32,0,5,150,1,0,0,0,-0.095,0,1.374882849,-2.747996583,2,0,0,0
254, no,26,0,1,390,1,0,20.25,0.81,-1.4,-0.1494,0.766096491,-1.219724416,14.67,13,0,0
255, no,0,0,6,566,1,1,0,0,-1.2,0.01,0.85953647,1.803653309,11.67,1.33,0,0
256, no,80,0,4,986,1,0,0,0,0.015,-0.0032,0,6.151586187,0,0,0,0
257, no,46,0,7,209,1,0,0,0,-5.05,-0.1024,3.45828125,-14.35153818,8,0,0,0
258, no,66,0,9,1047,1,0,2,0,-0.01,-0.0206,4.004291845,1.92708868,1.67,0,0,0
